Factor 1,Factor 2,Cluster 1,Cluster 2,Distance
Liderazgo,Procesos,0,1,4.682796277476658
Liderazgo,Protección de la privacidad,0,1,6.74705057744295
Marca,Cambio,0,1,2.861370654915666
Marca,Confianza,0,1,2.787299347197769
Marca,Documentación,0,1,3.8295157784092053
Marca,Habilidades,0,1,5.237832972315696
Marca,Incertidumbre,0,1,5.262325893316657
Marca,Lealtad,0,1,7.324228048336391
Marca,Planificación,0,1,4.09776144209732
Marca,Posicionamiento,0,1,8.318955405407653
Marca,Procesos,0,1,3.9711341436008967
Marca,Protección de la privacidad,0,1,5.999888282080188
Mejorar eficiencia,Cambio,0,1,4.7490254050063845
Mejorar eficiencia,Confianza,0,1,2.210720286714504
Mejorar eficiencia,Documentación,0,1,2.056065619745467
Mejorar eficiencia,Habilidades,0,1,2.090257747592598
Mejorar eficiencia,Incertidumbre,0,1,2.72016986916799
Mejorar eficiencia,Lealtad,0,1,6.543691080196533
Mejorar eficiencia,Planificación,0,1,2.070107845580388
Mejorar eficiencia,Posicionamiento,0,1,2.3970262683876484
Mejorar eficiencia,Procesos,0,1,3.3711480630141737
Mejorar eficiencia,Protección de la privacidad,0,1,2.5882163788233585
Optimización,Cambio,0,1,3.7792497871715485
Optimización,Confianza,0,1,3.2962394325035973
Optimización,Documentación,0,1,2.515770104902582
Optimización,Habilidades,0,1,2.7524680693060453
Optimización,Incertidumbre,0,1,6.176575571853617
Optimización,Lealtad,0,1,4.436730449103603
Optimización,Planificación,0,1,1.9090731373555212
Optimización,Posicionamiento,0,1,2.6578197415621134
Optimización,Procesos,0,1,2.9798423794494338
Optimización,Protección de la privacidad,0,1,2.3968400061359105
Partes interesadas,Cambio,0,1,3.5312823057154685
Partes interesadas,Confianza,0,1,3.609814565991634
Partes interesadas,Documentación,0,1,3.1064710650237823
Partes interesadas,Habilidades,0,1,3.4182640926910164
Partes interesadas,Incertidumbre,0,1,3.323318623438888
Partes interesadas,Lealtad,0,1,4.930674713527799
Partes interesadas,Planificación,0,1,2.814871133088374
Partes interesadas,Posicionamiento,0,1,2.9481857822856194
Partes interesadas,Procesos,0,1,3.28233546833938
Partes interesadas,Protección de la privacidad,0,1,3.934128370844788
Personalización,Cambio,0,1,3.726757980684512
Personalización,Confianza,0,1,3.7121389207112
Personalización,Documentación,0,1,2.23425657357942
Personalización,Habilidades,0,1,2.3621857153244012
Personalización,Incertidumbre,0,1,4.656989876355988
Personalización,Lealtad,0,1,4.505969147449009
Personalización,Planificación,0,1,2.1459957843200415
Personalización,Posicionamiento,0,1,2.7299428844079667
Personalización,Procesos,0,1,3.340749797884637
Personalización,Protección de la privacidad,0,1,2.249922417050254
Retención,Cambio,0,1,3.087378746287118
Retención,Confianza,0,1,2.4677511807942625
Retención,Documentación,0,1,1.985921524285328
Retención,Habilidades,0,1,2.0537813873761532
Retención,Incertidumbre,0,1,2.989578270357967
Retención,Lealtad,0,1,4.8713261128264405
Retención,Planificación,0,1,1.9174868221197519
Retención,Posicionamiento,0,1,2.373299619821134
Retención,Procesos,0,1,3.0353531220549486
Retención,Protección de la privacidad,0,1,2.7857789993604407
Valores organizacionales,Cambio,0,1,9.253111081007656
Valores organizacionales,Confianza,0,1,6.620079402556371
Valores organizacionales,Documentación,0,1,2.794975182437114
Valores organizacionales,Habilidades,0,1,2.8457360089246833
Valores organizacionales,Incertidumbre,0,1,11.707810057641062
Valores organizacionales,Lealtad,0,1,4.481854785126211
Valores organizacionales,Planificación,0,1,2.8882626493628925
Valores organizacionales,Posicionamiento,0,1,4.501839496636721
Valores organizacionales,Procesos,0,1,4.418094535912746
Valores organizacionales,Protección de la privacidad,0,1,2.6618915880765357
Adaptación,Casos de negocio,0,2,2.7578116047884986
Adaptación,Costos,0,2,4.066303849350274
Adaptación,Costos operativos,0,2,2.9640380964259685
Adaptación,Datos,0,2,3.2635631399602554
Adaptación,Gobierno de datos,0,2,2.487728470805996
Adaptación,Ingresos,0,2,2.7987462959992144
Adaptación,Recursos,0,2,5.443635320635836
Adaptación,Rediseño,0,2,4.107385625637184
Adaptación,Reducción de costos,0,2,2.5214177417592696
Adaptación,Satisfacción del cliente,0,2,3.3478529716714727
Adaptación,Soporte técnico,0,2,2.108281640200107
Adaptación,Ventas,0,2,3.188961600756677
Automatización,Casos de negocio,0,2,3.048756041986614
Automatización,Costos,0,2,7.427853261273253
