Factor,Distancia Promedio (X),Distancia Normalizada (Y),Cluster
CSF1,3.12,40.54982817869417,Estratégico
CSF2,2.67,25.085910652920962,Táctico
CSF3,1.94,0.0,Operativo
CSF4,4.85,100.0,Habilitador
CSF5,3.5,53.60824742268042,Estratégico
CSF6,2.75,27.83505154639176,Táctico
CSF7,4.2,77.66323024054984,Operativo
CSF8,3.0,36.42611683848798,Habilitador
